ano,mês,dia,subpref_sigla,subpref,lat,long,via,referencia,sentido,fonte,precipitacao
2020,6,27,MG,VILA MARIA-VILA GUILHERME,-23.522285,-46.611043,AV. MORVAN DIAS DE FIGUEIREDO,PTE. DA. VILA GUILHERME C W O BAUMGART,A SENNA/CASTELO B - LOCAL,CET,38.7
2020,6,27,IT,ITAIM PAULISTA,-23.489201,-46.403598,R. TITE LEMOS,R SERRA DO GRAO MOGOL,AMBOS,CET,60.2
2020,6,27,IT,ITAIM PAULISTA,-23.488764,-46.401563,AV. BRAZ DA ROCHA CARDOSO,ALTURA DO N. 559,AMBOS,CET,60.2
2020,6,27,LA,LAPA,-23.525277,-46.741209,AV. CARDEAL SANTIAGO LUIS CAPELLO,AV. DR. GASTÃO VIDIGAL ,AMBOS,CET,66.2
2020,6,27,LA,LAPA,-23.52749,-46.741871,AV. MOFARREJ,AV. DR. GASTÃO VIDIGAL ,AMBOS,CET,66.2
2020,6,27,MG,VILA MARIA-VILA GUILHERME,-23.522262,-46.607818,AV. MORVAN DIAS DE FIGUEIREDO,AV. GUILHERME,A SENNA/CASTELO B - LOCAL,CET,38.7
2020,6,27,CV,CASA VERDE/CACHOEIRINHA,-23.516407,-46.653952,MARGINAL TIETE,PTE. DA. CASA VERDE-JORN.WALTER ABRAHAO,A SENNA/CASTELO B - EXP,CET,61.7
2020,6,27,PI,PINHEIROS,-23.619162,-46.682743,VD. CAMPO BELO,ALTURA DO N. 0,BAIRRO/CENTRO,CET,70.6
2020,6,27,PI,PINHEIROS,-23.588199,-46.690533,AV. DAS. NACOES UNIDAS,R. OLIVIA FEDER,INTERLAGOS/CASTELO - LOCAL,CET,70.6
2020,6,27,SB,SAPOPEMBA,-23.51834,-46.630108,MARGINAL TIETE,PTE DAS BANDEIRAS SEN ROMEU TUMA,A SENNA/CASTELO B - CENTRAL,CET,57.1
2020,6,27,SA,SANTO AMARO,-23.626478,-46.676095,AV. JORN. ROBERTO MARINHO,R. JOÃO ALVARES SOARES,MARGINAL/AEROPORTO ,CET,59.0
2020,6,27,VM,VILA MARIANA,-23.60351,-46.67467,AV. SANTO AMARO,ALTURA DO N. 2191,BAIRRO/CENTRO ,CET,58.5
2020,6,27,SE,SE,-23.520095,-46.640709,MARGINAL TIETE,AV. CASA VERDE,A SENNA/CASTELO B - EXPR,CET,55.6
2020,6,27,CV,CASA VERDE/CACHOEIRINHA,-23.514609,-46.666728,MARGINAL TIETE,PTE DO LIMAO-ADHEMAR F. DA SILVA,A SENNA/CASTELO B - CENTRAL,CET,61.7
2020,6,27,SB,SAPOPEMBA,-23.518615,-46.630126,MARGINAL TIETE,PTE DAS BANDEIRAS SEN ROMEU TUMA,A SENNA/CASTELO B - EXPRESSA,CET,57.1
2020,6,27,PI,PINHEIROS,-23.606507,-46.696939,AV. DAS. NACOES UNIDAS,R. FLORIDA,INTERLAGOS/CASTELO - LOCAL,CET,70.6
2020,6,27,PI,PINHEIROS,-23.619162,-46.682743,VD. CAMPO BELO,ALTURA DO NÚMERO 0,BAIRRO/CENTRO,CET,70.6
2020,6,28,PI,PINHEIROS,-23.619207,-46.682776,VD. CAMPO BELO,AV. JORN. ROBERTO MARINHO,BAIRRO/CENTRO,CET,0.2
2020,6,29,PI,PINHEIROS,-23.617482,-46.681103,VD. CAMPO BELO,R. EDSON,BAIRRO/CENTRO,CET,0.0
2020,7,1,PI,PINHEIROS,-23.621331,-46.683954,VD. CAMPO BELO,AV. STO. AMARO,BAIRRO/CENTRO,CET,0.4
2020,7,3,PI,PINHEIROS,-23.617482,-46.681103,VD. CAMPO BELO,R. EDSON,BAIRRO/CENTRO,CET,0.0
2020,7,4,PI,PINHEIROS,-23.619162,-46.682743,VD. CAMPO BELO,ALTURA DO NÚMERO 0: SOBRE VIADUTO,BAIRRO/CENTRO,CET,0.0
2020,7,5,PI,PINHEIROS,-23.614361,-46.693172,AV. JORN. ROBERTO MARINHO,ALTURA DO NÚMERO 802,AEROPORTO/MARGINAL,CET,0.0
2020,8,16,PI,PINHEIROS,-23.617947,-46.68205,R. MICHIGAN,ALTURA DO NÚMERO 45,BAIRRO/CENTRO,CET,17.7
2020,8,17,PI,PINHEIROS,-23.619162,-46.682743,VD. CAMPO BELO,ALTURA DO NÚMERO 0,BAIRRO/CENTRO,CET,14.2
2020,8,22,SE,SE,-23.529928,-46.641998,R. ANHAIA (BOM RETIRO),R SILVA PINTO,AMBOS,CET,2.0
2020,8,22,SB,SAPOPEMBA,-23.50984,-46.641221,AL. NOTHMANN,R. ANHAIA,ÚNICO,CET,3.0
2020,10,9,PJ,PIRITUBA/JARAGUA,-23.430159,-46.720989,AV. RAIMUNDO PEREIRA DE MAGALHÃES,ALTURA DO N. 12877,BAIRRO/CENTRO,CET,35.2
2020,10,9,PJ,PIRITUBA/JARAGUA,-23.426886,-46.724778,AV. RAIMUNDO PEREIRA DE MAGALHÃES,R. MARIA DA CRUZ CUNHA,CENTRO/BAIRRO,CET,35.2
2020,10,9,MB,MBOI MIRIM,-23.695227,-46.768918,R. JOÃO ALFREDO,PÇ. DOM FRANCISCO DE SOUSA,BAIRRO/CENTRO,CET,22.9
2020,10,9,MO,MOOCA,-23.52837,-46.597582,PTE. PRES JANIO QUADROS (BELEM),AV CDSSA ELISABETH DE ROBIANO,BAIRRO/CENTRO,CET,34.4
2020,10,19,MG,VILA MARIA-VILA GUILHERME,-23.508737,-46.600162,R. CHICO PONTES (VILA GUILHERME),AV GUILHERME,AMBOS,CET,37.1
2020,10,19,PI,PINHEIROS,-23.618813,-46.682838,AV. STO. AMARO,AV. JORN. ROBERTO MARINHO,BAIRRO/CENTRO,CET,6.6
2020,10,19,VP,VILA PRUDENTE,-23.57963,-46.552459,R. GOMES,R. SOLIDONIO LEITE,BAIRRO/CENTRO,CET,12.9
2020,10,20,CV,CASA VERDE/CACHOEIRINHA,-23.509401,-46.665896,PC. DEL AMOROSO NETO (CASA VERDE),AV ORDEM E PROGRESSO,AMBOS,CET,46.4
2020,10,20,SB,SAPOPEMBA,-23.511627,-46.623984,AV. ZAKI NARCHI (SANTANA),R URUPIARA,CENTRO/BAIRRO,CET,40.2
2020,10,20,SB,SAPOPEMBA,-23.506323,-46.624986,AV. CRUZEIRO DO SUL (BOM RETIRO),R ALFREDO GUEDES,SANTANA/IPIRANGA,CET,40.2
